"COD_REG","COD_CM","COD_PRO","PRO_COM","COMUNE","NOME_TED","E_EPGS32632","W_EPGS32632","S_EPGS32632","N_EPGS32632","E_EPGS4326","W_EPGS4326","S_EPGS4326","N_EPGS4326"
1,201,1,1065,"Castagnole Piemonte",NA,384551.067685052,390433.147258124,4969987.57727022,4974949.53825708,7.53796503711743,7.61229625791126,44.874382630688,44.9189766812837
1,201,1,1088,"Coassolo Torinese",NA,377280.482025111,382327.382935237,5016045.72775007,5024969.15881572,7.43401337895902,7.4990952256685,45.2876783980451,45.3675535114702
1,201,1,1090,"Collegno",NA,386263.360551188,391676.758499605,4991629.41176667,4997241.87120883,7.55469401576704,7.62287668705427,45.0691770325073,45.1201589351775
1,201,1,1025,"Bibiana",NA,359765.134926696,369470.528989383,4958745.15407349,4963234.61963603,7.22751058632044,7.3500901534906,44.7684955591633,44.8095392092149
1,201,1,1030,"Borgofranco d'Ivrea",NA,407543.095538747,412880.149798905,5038600.06650911,5043309.03098614,7.8165366461009,7.88448602743278,45.4950121713371,45.537516777059
1,201,1,1044,"Bussoleno",NA,350227.128569698,355958.587023785,4991581.90119719,5005497.29713536,7.09444306995186,7.16832661733918,45.0623806893059,45.1876796864178
1,201,1,1045,"Buttigliera Alta",NA,375429.004227134,378520.607471837,4990651.91785396,4994093.3901863,7.41733081923749,7.45705049428564,45.0586875255668,45.0897105038057
1,201,1,1046,"Cafasse",NA,380790.42769673,385228.707730724,5009145.77971299,5013218.74981252,7.48106615624477,7.53775142444528,45.2261215565584,45.2626252924842
1,201,1,1047,"Caluso",NA,408835.99773539,415140.575277531,5010709.27643904,5019127.21198766,7.83724442398552,7.91753606564738,45.2445873431177,45.3201834577407
1,201,1,1049,"Campiglione Fenile",NA,364506.096947248,369726.401440825,4960613.14218905,4964527.11235025,7.28662512007758,7.35279318902027,44.7870094649569,44.8220119817103
1,201,1,1059,"Carmagnola",NA,393040.286296688,406997.054368377,4962711.13414481,4974066.05059732,7.64650531043934,7.82282582428525,44.8102307499664,44.9135395281346
1,201,1,1078,"Chieri",NA,403480.576968503,412480.821839946,4978253.52001512,4990505.92769776,7.77522574227384,7.88929819896568,44.9515528355825,45.0620505975662
1,201,1,1050,"Candia Canavese",NA,411746.507286005,415582.822574785,5018378.2187667,5022345.68799007,7.87409147400205,7.9227012092206,45.3133743733253,45.3494596893401
1,201,1,1051,"Candiolo",NA,385946.586806964,390394.084047319,4977796.51787576,4982718.47923705,7.55402618311799,7.61027335327079,44.9449352840848,44.988825935542
1,201,1,1080,"Chiomonte",NA,338563.404482632,344165.521575117,4992644.38924685,5000084.8338694,6.94702364630476,7.0201477468762,45.0696153424023,45.1364825495841
1,201,1,1081,"Chiusa di San Michele",NA,366501.822805586,369620.454175228,4993117.89459579,4996616.36924877,7.30385725142849,7.34293273942874,45.0789328660909,45.1109196843685
1,201,1,1013,"Avigliana",NA,370001.482277566,376819.744697376,4989007.92759223,4995520.87917467,7.34820879325548,7.43439895004516,45.0430859685398,45.1018698870871
1,201,1,1014,"Azeglio",NA,418726.921538692,423886.19706793,5027814.65071283,5033140.108641,7.96115177463692,8.0274319134315,45.3996506625397,45.4471310314001
1,201,1,1048,"Cambiano",NA,399051.613482827,405119.565306424,4976614.5310777,4984957.96722062,7.72034752191382,7.79647758175895,44.9361106907154,45.0115084809009
