cod_istat 	 cod_istat_reg 	 cod_istat_pro 	name                                      	WKT_southernmost                       	WS_EPGS_4326	S_EPGS_4326
1001	1	1	 Agliè                                                                          	 POINT(7.7757019 45.3414895)	7.7757019	45.3414895
1002	1	1	 Airasca                                                                        	 POINT(7.4789033 44.9039599)	7.4789033	44.9039599
1003	1	1	 Ala di Stura                                                                   	 POINT(7.2519783 45.2675858)	7.2519783	45.2675858
1004	1	1	 Albiano d'Ivrea                                                                	 POINT(7.9369939 45.4100472)	7.9369939	45.4100472
1005	1	1	 Alice Superiore                                                                	 POINT(7.7645398 45.4490693)	7.7645398	45.4490693
1006	1	1	 Almese                                                                         	 POINT(7.4417016 45.0993341)	7.4417016	45.0993341
1007	1	1	 Alpette                                                                        	 POINT(7.5770306 45.3934736)	7.5770306	45.3934736
1008	1	1	 Alpignano                                                                      	 POINT(7.5152486 45.083985)	7.5152486	45.083985
1009	1	1	 Andezeno                                                                       	 POINT(7.867233 45.0211767)	7.867233	45.0211767
1010	1	1	 Andrate                                                                        	 POINT(7.8968288 45.5172076)	7.8968288	45.5172076
1011	1	1	 Angrogna                                                                       	 POINT(7.2266804 44.8260316)	7.2266804	44.8260316
1012	1	1	 Arignano                                                                       	 POINT(7.887914 45.016987)	7.887914	45.016987
1013	1	1	 Avigliana                                                                      	 POINT(7.3833837 45.043086)	7.3833837	45.043086
1014	1	1	 Azeglio                                                                        	 POINT(8.0205294 45.3996507)	8.0205294	45.3996507
1015	1	1	 Bairo                                                                          	 POINT(7.740337 45.3574333)	7.740337	45.3574333
1016	1	1	 Balangero                                                                      	 POINT(7.5234094 45.2531815)	7.5234094	45.2531815
1017	1	1	 Baldissero Canavese                                                            	 POINT(7.7342104 45.3924481)	7.7342104	45.3924481
1018	1	1	 Baldissero Torinese                                                            	 POINT(7.8298149 45.0411434)	7.8298149	45.0411434
1019	1	1	 Balme                                                                          	 POINT(7.2253263 45.257201)	7.2253263	45.257201
1020	1	1	 Banchette                                                                      	 POINT(7.8494743 45.4448934)	7.8494743	45.4448934
1021	1	1	 Barbania                                                                       	 POINT(7.6063678 45.2805714)	7.6063678	45.2805714
1022	1	1	 Bardonecchia                                                                   	 POINT(6.6743977 45.0195363)	6.6743977	45.0195363
1023	1	1	 Barone Canavese                                                                	 POINT(7.8385326 45.3026973)	7.8385326	45.3026973
1024	1	1	 Beinasco                                                                       	 POINT(7.5972802 44.9977949)	7.5972802	44.9977949
1025	1	1	 Bibiana                                                                        	 POINT(7.2372163 44.7684956)	7.2372163	44.7684956
1026	1	1	 Bobbio Pellice                                                                 	 POINT(7.065278 44.713755)	7.065278	44.713755
1027	1	1	 Bollengo                                                                       	 POINT(7.9401335 45.4420262)	7.9401335	45.4420262
1028	1	1	 Borgaro Torinese                                                               	 POINT(7.6542645 45.1245815)	7.6542645	45.1245815
1029	1	1	 Borgiallo                                                                      	 POINT(7.667329 45.3944011)	7.667329	45.3944011
1030	1	1	 Borgofranco d'Ivrea                                                            	 POINT(7.8370733 45.4950122)	7.8370733	45.4950122
1031	1	1	 Borgomasino                                                                    	 POINT(7.9706272 45.3445335)	7.9706272	45.3445335
1032	1	1	 Borgone di Susa                                                                	 POINT(7.2686335 45.1118422)	7.2686335	45.1118422
1033	1	1	 Bosconero                                                                      	 POINT(7.8027851 45.2496112)	7.8027851	45.2496112
1034	1	1	 Brandizzo                                                                      	 POINT(7.8305899 45.1575749)	7.8305899	45.1575749
1035	1	1	 Bricherasio                                                                    	 POINT(7.2882957 44.8078605)	7.2882957	44.8078605
1036	1	1	 Brosso                                                                         	 POINT(7.7956906 45.483674)	7.7956906	45.483674
1037	1	1	 Brozolo                                                                        	 POINT(8.0751754 45.0973911)	8.0751754	45.0973911
1038	1	1	 Bruino                                                                         	 POINT(7.4649511 44.9991801)	7.4649511	44.9991801
1039	1	1	 Brusasco                                                                       	 POINT(8.0457127 45.1229791)	8.0457127	45.1229791
1040	1	1	 Bruzolo                                                                        	 POINT(7.206441 45.1229173)	7.206441	45.1229173
1041	1	1	 Buriasco                                                                       	 POINT(7.456509 44.8589733)	7.456509	44.8589733
1042	1	1	 Burolo                                                                         	 POINT(7.9263298 45.4648682)	7.9263298	45.4648682
1043	1	1	 Busano                                                                         	 POINT(7.66741 45.2955718)	7.66741	45.2955718
1044	1	1	 Bussoleno                                                                      	 POINT(7.1284833 45.0623807)	7.1284833	45.0623807
1045	1	1	 Buttigliera Alta                                                               	 POINT(7.4411004 45.0586875)	7.4411004	45.0586875
1046	1	1	 Cafasse                                                                        	 POINT(7.5128941 45.2261216)	7.5128941	45.2261216
1047	1	1	 Caluso                                                                         	 POINT(7.8867726 45.2445873)	7.8867726	45.2445873
1048	1	1	 Cambiano                                                                       	 POINT(7.7488362 44.9361107)	7.7488362	44.9361107
1049	1	1	 Campiglione-Fenile                                                             	 POINT(7.3508444 44.7870095)	7.3508444	44.7870095
1050	1	1	 Candia Canavese                                                                	 POINT(7.8755514 45.3133744)	7.8755514	45.3133744
1051	1	1	 Candiolo                                                                       	 POINT(7.5928552 44.9449353)	7.5928552	44.9449353
1052	1	1	 Canischio                                                                      	 POINT(7.5873029 45.3650941)	7.5873029	45.3650941
1053	1	1	 Cantalupa                                                                      	 POINT(7.3158981 44.9338117)	7.3158981	44.9338117
1054	1	1	 Cantoira                                                                       	 POINT(7.3816557 45.3267464)	7.3816557	45.3267464
1055	1	1	 Caprie                                                                         	 POINT(7.3697857 45.1054677)	7.3697857	45.1054677
1056	1	1	 Caravino                                                                       	 POINT(7.9907901 45.3771631)	7.9907901	45.3771631
1057	1	1	 Carema                                                                         	 POINT(7.8122942 45.5650509)	7.8122942	45.5650509
1058	1	1	 Carignano                                                                      	 POINT(7.6603358 44.8373627)	7.6603358	44.8373627
1059	1	1	 Carmagnola                                                                     	 POINT(7.6847684 44.8102308)	7.6847684	44.8102308
1060	1	1	 Casalborgone                                                                   	 POINT(7.9266652 45.1042294)	7.9266652	45.1042294
1061	1	1	 Cascinette d'Ivrea                                                             	 POINT(7.9044593 45.471794)	7.9044593	45.471794
1062	1	1	 Caselette                                                                      	 POINT(7.4394464 45.0884742)	7.4394464	45.0884742
1063	1	1	 Caselle Torinese                                                               	 POINT(7.6872463 45.1549631)	7.6872463	45.1549631
1064	1	1	 Castagneto Po                                                                  	 POINT(7.8871881 45.141321)	7.8871881	45.141321
1065	1	1	 Castagnole Piemonte                                                            	 POINT(7.5722233 44.8743826)	7.5722233	44.8743826
1066	1	1	 Castellamonte                                                                  	 POINT(7.7284461 45.3521437)	7.7284461	45.3521437
1067	1	1	 Castelnuovo Nigra                                                              	 POINT(7.7189194 45.4093214)	7.7189194	45.4093214
1068	1	1	 Castiglione Torinese                                                           	 POINT(7.8139567 45.0830946)	7.8139567	45.0830946
1069	1	1	 Cavagnolo                                                                      	 POINT(8.0144238 45.1252302)	8.0144238	45.1252302
1070	1	1	 Cavour                                                                         	 POINT(7.3486544 44.7515947)	7.3486544	44.7515947
